"😓"
"🤥"
"😞"
"😒"
"😔"
"😟"
"😕"
"🙁"
"☹"
"😣"
"😖"
"😫"
"😩"
"😢"
"😭"
"😧"
"😦"
"😯"
"😬"
"🤕"
"😿"
